ID,usborn,firstgen,meim01,meim02,meim03,meim04,meim05,meim06,meim07,meim08,meim09,meim10,meim11,meim12,swl01,swl02,swl03,swl04,swl05
MCAE16008,no,no,4,3,3,4,3,3,3,3,3,3,3,3,2,2,2,1,2
MCAE16010,no,no,3,3,4,4,4,4,4,2,4,4,4,4,2,2,3,3,3
MCAE16014,no,no,3,2,4,2,3,4,3,3,4,4,4,4,2,2,1,1,1
MCAE16020,no,no,3,2,3,3,4,2,2,4,4,2,3,3,3,4,4,3,2
MCAE16031,no,no,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3
MCAE16036,no,no,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MCAE16039,no,no,4,3,1,4,4,2,1,1,3,3,1,3,2,4,3,2,2
MCAE16044,no,no,3,2,3,2,4,4,4,3,3,3,2,3,4,4,3,3,3
MCAE16048,no,no,3,3,3,4,4,3,3,3,4,3,2,4,1,1,1,1,1
MCAE16049,no,no,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,4,1
MCAE16055,no,no,3,2,2,3,4,4,3,4,3,1,2,4,4,5,5,5,5
MCAE16057,no,no,3,4,3,4,4,4,3,3,4,4,4,4,3,2,4,5,1
MCAE16058,no,no,3,3,3,1,4,4,4,3,3,4,3,4,3,1,3,1,1
MCAE16066,no,no,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,4,2
MCAE16077,no,no,2,3,2,3,3,2,3,3,3,3,3,3,4,5,3,5,4
MCAE16088,no,no,3,3,3,3,3,3,3,3,4,2,3,4,2,2,1,3,5
MCAE16091,no,no,3,3,3,4,4,3,3,3,3,3,3,4,2,3,4,4,4
MCAE16093,no,no,4,3,4,4,4,4,4,4,4,4,4,4,2,2,1,2,1
MCAE16100,no,no,3,2,3,4,3,2,3,3,4,4,4,4,2,2,2,2,1
MCAE16102,no,no,2,4,3,3,4,3,3,2,3,4,3,3,3,3,3,4,2
MCAE16104,no,no,3,2,4,4,4,3,3,3,4,4,4,4,2,3,2,3,1
MCAE16106,no,no,3,3,3,2,3,3,3,2,4,4,2,3,2,2,4,4,2
MCAE16108,no,no,2,1,1,1,3,1,1,1,2,1,1,2,1,1,1,1,1
MCAE16110,no,no,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,5,2
MCAE16118,no,no,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MCAE16126,no,no,3,3,3,4,4,3,3,4,4,4,4,4,2,2,3,4,4
MCAE16128,no,no,2,1,2,2,4,3,3,2,3,3,2,3,2,3,4,4,5
MCAE16134,no,no,3,3,2,3,4,3,3,3,3,3,3,3,3,4,3,3,4
MCAE16148,no,no,3,2,3,3,3,3,3,4,3,2,3,3,4,3,4,4,1
MCAE16149,no,no,2,2,4,3,3,3,3,3,3,2,2,3,3,2,4,3,3
MCAE16171,no,no,4,2,3,3,4,2,3,2,3,3,3,3,2,2,2,3,3
MCAE16192,no,no,3,2,3,3,4,4,3,3,4,4,4,4,2,4,5,3,3
MCAE16196,no,no,3,2,4,2,4,4,3,4,3,3,3,3,4,4,3,3,1
